,0
aggrescan3d_avg_value,0.16593150276564148
budeff_desolvation,0.1410106783324478
aggrescan3d_max_value,0.1368724686220826
rosetta_fa_dun,0.13541025446984206
rosetta_fa_atr,0.11671323856679525
rosetta_fa_elec,0.10460610065672168
budeff_total,0.10140325724499168
isoelectric_point,0.0833411365182812
budeff_charge,0.05075543266888379
evoef2_intraR_total,0.03758740283828513
budeff_steric,0.02469742643045858
rosetta_lk_ball_wtd,0.015939844291212635
rosetta_fa_intra_sol_xover4,-0.014187784982572916
rosetta_hbond_bb_sc,-0.021559631140927446
rosetta_hbond_lr_bb,-0.025844624191015714
rosetta_hbond_sc,-0.03895451726179062
rosetta_fa_sol,-0.06952988372847502
aggrescan3d_min_value,-0.09085140197737142
rosetta_hbond_sr_bb,-0.1165517115553392
packing_density,-0.13842572337644557
hydrophobic_fitness,-0.2977965227797074
