,0
rosetta_hbond_lr_bb,0.8434003015520753
rosetta_hbond_bb_sc,0.8037908577618347
hydrophobic_fitness,0.7926628410592281
rosetta_hbond_sc,0.758455346780183
packing_density,0.691244518747842
rosetta_hbond_sr_bb,0.6385162639028646
rosetta_fa_sol,0.5692616588815772
budeff_charge,0.5020447254232346
aggrescan3d_avg_value,0.49670474044463486
aggrescan3d_max_value,0.4817562143790703
isoelectric_point,0.44711763553411943
rosetta_fa_elec,0.4196459013351093
evoef2_intraR_total,0.39462086791489437
aggrescan3d_min_value,0.38147889945041624
rosetta_lk_ball_wtd,0.35396713474970054
budeff_total,0.35281046255678544
budeff_desolvation,0.33616999106762013
rosetta_fa_atr,0.3321282351718908
rosetta_fa_intra_sol_xover4,0.3227195676931933
rosetta_fa_dun,0.2841395520713216
budeff_steric,0.09271440759838799
