hydrophobic_fitness,isoelectric_point,budeff_desolvation,rosetta_fa_sol,rosetta_lk_ball_wtd,rosetta_fa_intra_sol_xover4,rosetta_hbond_sr_bb,rosetta_hbond_bb_sc,rosetta_hbond_sc,rosetta_fa_dun,aggrescan3d_avg_value,aggrescan3d_min_value,aggrescan3d_max_value
0.9999999999999999,0.10807896392914487,0.06008781745945391,0.1412582023504026,-0.18436442896498212,-0.16804989099007872,-0.28195427465787276,0.2609808943980468,0.12429990770553814,0.23393776607258734,0.2774614848534798,-0.24728758664875664,0.4355211320671564
0.10807896392914487,1.0,0.09645609063684743,-0.033368376635935906,-0.11491056480065162,-0.21323274913140675,-0.13139783227968127,0.22491716388438163,0.20141613565956204,0.027011402394925197,0.1501463434432749,0.008963588311663174,0.1746923831646862
0.0600878174594539,0.09645609063684743,1.0,-0.5524598123518086,-0.11342174538820736,-0.3492859317283897,0.030145017554476555,0.5503373006632376,0.5222691940665565,0.502395099807317,-0.13022152663346376,-0.15400601482654327,0.14987058247177895
0.1412582023504026,-0.033368376635935906,-0.5524598123518086,1.0,-0.26390996664676314,0.4423524126799445,-0.5961516364522363,-0.1675437686002165,-0.36081814322890204,-0.31662593688322693,0.006986804852475736,0.000781957689794498,-0.07499360388873903
-0.1843644289649821,-0.11491056480065162,-0.11342174538820736,-0.26390996664676314,1.0,-0.08878140415167113,0.53259672615596,-0.3669088750894399,-0.3602754589527983,-0.04995565604686429,-0.0005571968186316715,0.07480439927790197,-0.08650192450587695
-0.16804989099007872,-0.21323274913140675,-0.3492859317283897,0.4423524126799445,-0.08878140415167113,1.0,0.032970348366479,-0.39130287279015885,-0.49210133855982474,0.06697831027396246,-0.42428680851687994,-0.093710212737784,-0.31265941762852995
-0.28195427465787276,-0.13139783227968127,0.030145017554476555,-0.5961516364522363,0.53259672615596,0.032970348366479,1.0,-0.4631793203047473,-0.19325448372584575,0.11876320231583111,-0.13329626302898645,0.07324662968032652,-0.1117901702385973
0.2609808943980468,0.22491716388438165,0.5503373006632376,-0.16754376860021647,-0.36690887508944,-0.39130287279015885,-0.4631793203047473,0.9999999999999999,0.5825988091377198,0.3075597365742519,0.07401719496756036,-0.14452233458445002,0.21642544347834927
0.12429990770553816,0.20141613565956204,0.5222691940665565,-0.36081814322890204,-0.3602754589527982,-0.4921013385598247,-0.19325448372584575,0.5825988091377198,1.0,0.21527010271179714,0.1896995027211637,-0.01548378326737264,0.26949235065772775
0.23393776607258734,0.027011402394925197,0.502395099807317,-0.31662593688322693,-0.04995565604686429,0.06697831027396246,0.11876320231583111,0.3075597365742519,0.21527010271179714,1.0,-0.23417912137167962,-0.3719414163918146,0.20435577294333704
0.2774614848534798,0.1501463434432749,-0.13022152663346376,0.006986804852475735,-0.0005571968186316716,-0.4242868085168799,-0.13329626302898648,0.07401719496756036,0.1896995027211637,-0.2341791213716796,0.9999999999999999,0.4394012201898097,0.5952807353165825
-0.24728758664875664,0.008963588311663174,-0.15400601482654327,0.000781957689794498,0.07480439927790197,-0.093710212737784,0.07324662968032652,-0.14452233458445005,-0.015483783267372642,-0.3719414163918146,0.43940122018980976,0.9999999999999999,0.005106857835407535
0.4355211320671564,0.1746923831646862,0.14987058247177895,-0.07499360388873903,-0.08650192450587695,-0.31265941762853,-0.1117901702385973,0.21642544347834927,0.26949235065772775,0.20435577294333704,0.5952807353165825,0.005106857835407535,1.0
