subcellular_location,count
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm:Nucleus, nucleolus",3
"Cytoplasm, cytoskeleton:Cell junction, adherens junction:Cytoplasm, myofibril, sarcomere, Z line",3
"Cell membrane:Secreted:Cytoplasm, cytosol",3
Cell membrane:Secreted:Membrane raft,3
"Cell junction, adherens junction:Cell membrane:Cytoplasm, cytoskeleton:Cell junction, focal adhesion:Nucleus:Nucleus matrix",3
"Cell membrane:Cell projection, lamellipodium membrane:Cell junction, focal adhesion:Postsynaptic cell membrane:Synapse",3
Cell membrane:Secreted:Membrane raft:Golgi apparatus,3
"Cytoplasm, cytoskeleton:Cell junction, adherens junction:Cell membrane:Cell junction",3
"Cell junction, adherens junction:Cell membrane:Endosome:Golgi apparatus, trans-Golgi network:Cytoplasm:Cell junction, desmosome",3
Cell membrane:Secreted:Secreted:Secreted,3
"Cell membrane:Synapse, synaptosome",3
"Cytoplasm, cytoskeleton:Cell junction, adherens junction:Cell junction, focal adhesion:Cell projection",3
"Cell projection, dendrite:Membrane",3
"Cell membrane:Cell projection, axon:Cell projection, dendrite:Synapse:Presynaptic cell membrane:Postsynaptic cell membrane",3
"Cell membrane:Synapse:Cell projection, axon",3
"Cell junction, adherens junction:Cytoplasm, cytoskeleton:Apical cell membrane",3
"Cell membrane:Cell projection, axon:Endoplasmic reticulum-Golgi intermediate compartment membrane",3
"Cell junction, focal adhesion:Nucleus matrix:Cytoplasm, cytoskeleton",3
"Cytoplasm, cytoskeleton, spindle:Cytoplasm, cytoskeleton, spindle pole:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cell projection, cilium, flagellum",3
"Cell projection, cilium:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle pole",3
"Cell membrane:Cell projection, cilium membrane:Cytoplasm:Nucleus",3
"Cell junction, focal adhesion:Cell junction, adherens junction:Cell membrane:Endoplasmic reticulum membrane:Nucleus:Melanosome:Cytoplasm, cytosol:Cytoplasm, cytoskeleton:Secreted, extracellular exosome:Membrane raft",3
"Cell projection, cilium, photoreceptor outer segment:Cytoplasm, cytoskeleton, cilium axoneme",3
"Cell projection, cilium, flagellum membrane:Endoplasmic reticulum membrane",3
"Cell projection, cilium, photoreceptor outer segment",3
"Cell projection, cilium, flagellum:Cytoplasm, cytoskeleton, cilium axoneme",3
"Cell junction, focal adhesion:Cytoplasm, cytoskeleton",3
"Cell projection, cilium, flagellum:Cytoplasm, cytoskeleton, cilium axoneme:Cytoplasm, cytoskeleton, flagellum axoneme",3
"Cell junction, focal adhesion:Cell projection, ruffle:Cytoplasm, cell cortex:Cell projection, lamellipodium",3
"Cell projection, cilium, flagellum:Cytoplasm, cytoskeleton:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",3
"Cell membrane:Cell projection, axon:Secreted:Secreted, extracellular space, extracellular matrix",3
"Cell membrane:Cell projection, axon:Secreted",3
"Cell membrane:Cell projection, axon:Presynaptic cell membrane",3
"Cell junction, focal adhesion:Cell membrane:Cytoplasm, cytoskeleton:Cytoplasm, myofibril, sarcomere, Z line",3
"Cell projection, cilium, flagellum:Cytoplasmic vesicle, secretory vesicle, acrosome:Cytoplasm",3
"Cell membrane:Cell projection, axon:Perikaryon:Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane:Synapse, synaptosome:Postsynaptic density:Cell projection, neuron projection:Cell projection, growth cone",3
"Cell projection, cilium, photoreceptor outer segment:Membrane",3
"Cell projection, cilium membrane:Cytoplasm:Cytoplasm, cytoskeleton, cilium basal body:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite",3
"Cell projection, axon:Cell projection, dendritic spine:Synapse",3
"Cell projection, axon:Cell projection, dendrite:Presynapse:Mitochondrion:Cell projection, growth cone:Cytoplasm",3
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Nucleus, Cajal body:Cytoplasm:Endosome",3
"Cell junction, focal adhesion:Cytoplasmic vesicle:Endosome",3
"Cell membrane:Cell projection, dendrite:Cytoplasm",3
"Cytoplasm, cytoskeleton, spindle pole:Nucleus:Cytoplasm",3
"Cell projection, cilium:Cytoplasm, cytoskeleton, cilium basal body:Cell projection, dendrite:Perikaryon",3
"Cell junction, focal adhesion:Cytoplasm:Cell projection, axon",3
"Cell projection, cilium membrane:Cytoplasm, cytoskeleton, cilium axoneme:Cytoplasm, cytoskeleton, cilium basal body",3
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Nucleus:Cytoplasm:Cleavage furrow",3
"Cell projection, cilium:Cytoplasm, cytoskeleton, cilium axoneme:Cell projection, kinocilium:Cytoplasm, cytoskeleton",3
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, spindle:Cytoplasm, cytoskeleton, cilium axoneme:Cytoplasm, cytoskeleton, flagellum axoneme",3
"Cell projection, cilium:Cell projection, cilium, flagellum:Dynein axonemal particle:Cytoplasm",3
"Cell junction, focal adhesion:Cytoplasm, cytosol",3
"Cell membrane:Cell projection, cilium:Cell projection, stereocilium",3
"Cell membrane:Cell projection, lamellipodium membrane:Cell projection, filopodium membrane",3
"Cell membrane:Secreted, extracellular space, apoplast:Endoplasmic reticulum:Golgi apparatus",3
"Cell projection, microvillus membrane:Apical cell membrane",3
Cell inner membrane:Cell outer membrane,3
"Cell projection, invadopodium membrane:Cell membrane",3
"Cell membrane:Photoreceptor inner segment:Cell projection, cilium, photoreceptor outer segment:Cytoplasm, perinuclear region",3
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle:Chromosome, centromere, kinetochore",3
"Cell projection, growth cone:Cytoplasmic vesicle:Cytoplasm, cytoskeleton",3
Cell membrane:Postsynaptic cell membrane:Basolateral cell membrane:Endoplasmic reticulum membrane,3
"Cell membrane:Postsynaptic cell membrane:Cell projection, dendrite",3
"Cell membrane:Postsynaptic cell membrane:Cell projection, dendrite:Postsynaptic cell membrane",3
"Cytoplasm, cytoskeleton:Cell projection, cilium, flagellum",3
"Cell membrane:Postsynaptic cell membrane:Late endosome:Lysosome:Cytoplasm, cytoskeleton",3
"Cell projection, growth cone:Cytoplasm, perinuclear region",3
"Cytoplasm, cytoskeleton:Cell projection, axon:Perikaryon",3
"Cell membrane:Postsynaptic cell membrane:Postsynaptic density membrane:Cytoplasm, perinuclear region:Synapse:Cell projection, dendrite:Nucleus",3
Cell membrane:Postsynaptic cell membrane:Presynaptic cell membrane:Nucleus,3
"Cell projection, filopodium:Cell projection, podosome",3
"Cell membrane:Cell projection, phagocytic cup:Cell junction, focal adhesion:Cell projection, dendritic spine:Postsynaptic density:Secreted:Secreted",3
"Cell membrane:Cell projection, ruffle membrane:Cytoplasm:Mitochondrion:Mitochondrion inner membrane:Mitochondrion intermembrane space",3
"Cell membrane:Cell membrane:Nucleus:Cytoplasm:Cytoplasm, perinuclear region",3
"Cell projection, dendrite:Postsynaptic cell membrane",3
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle pole:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole:Cell projection, neuron projection:Cell projection, cilium:Cytoplasm, cytoskeleton, cilium basal body:Basolateral cell membrane",3
Cell membrane:Perikaryon,3
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body:Cytoplasm:Nucleus:Membrane",3
"Cytoplasm, cytoskeleton:Cell projection, lamellipodium:Cell projection, ruffle:Cell projection, dendrite:Cell projection:Cell membrane:Cell projection, podosome:Cell junction:Cell junction, focal adhesion:Membrane, clathrin-coated pit:Cell projection, dendritic spine:Cytoplasm, cell cortex:Endoplasmic reticulum",3
Cell membrane:Cell projection:Early endosome membrane,3
"Cell membrane:Perikaryon:Cell projection, growth cone:Cell projection, dendritic spine",3
Cell membrane:Cell membrane:Membrane raft:Secreted,3
"Cytoplasm, cytoskeleton:Cell projection, growth cone:Cell projection, lamellipodium:Cell projection, filopodium",3
"Cell projection, lamellipodium:Cytoplasm, cytoskeleton, stress fiber",3
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, microtubule organizing center:Cytoplasm, perinuclear region",3
"Cytoplasm, cytoskeleton:Cell projection, filopodium",3
"Cell membrane:Cell projection, stereocilium membrane:Cell junction, adherens junction:Nucleus:Cytoplasmic vesicle, secretory vesicle, acrosome",3
"Cytoplasm, cytoskeleton:Cell projection, dendrite:Cell projection, growth cone:Cell projection, axon:Cytoplasmic vesicle",3
"Cell projection, lamellipodium:Cell projection, ruffle",3
"Cytoplasm, cytoskeleton:Cell projection, cilium:Cell projection, dendritic spine",3
Cell membrane:Peroxisome membrane:Secreted,3
"Cell membrane:Cell projection, neuron projection:Nucleus:Cytoplasm, perinuclear region:Perikaryon",3
"Cell membrane:Postsynaptic density:Perikaryon:Cell projection, dendrite",3
"Cell membrane:Postsynaptic density:Synapse:Cytoplasm:Cell projection, axon:Cell projection, dendritic spine:Cell projection, dendrite:Presynapse",3
"Cell membrane:Postsynaptic density:Synapse:Membrane:Cell projection, axon:Perikaryon",3
"Cell membrane:Presynaptic cell membrane:Synapse:Cell projection, axon:Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane:Postsynaptic density membrane:Cell projection, dendritic spine",3
"Cell junction, adherens junction:Cell junction, tight junction:Cell membrane",3
"Cell junction, tight junction:Cell membrane:Basolateral cell membrane",3
"Cell membrane:Cell projection, lamellipodium:Cell projection, ruffle membrane:Cytoplasm:Membrane:Nucleus",3
Cell membrane:Recycling endosome membrane:Apical cell membrane,3
Cell membrane:Cell membrane:Virion,3
"Cell membrane:Recycling endosome membrane:Cell projection, dendritic spine membrane:Synaptic cell membrane:Cell junction, focal adhesion",3
"Cell membrane:Cell projection, axon:Cell junction",3
"Cell projection, dendritic spine:Cell projection, axon:Synapse",3
Cell membrane:Sarcoplasmic reticulum membrane:Endoplasmic reticulum membrane:Nucleus,3
"Cell projection, dendritic spine:Cell membrane:Synapse:Postsynaptic cell membrane:Cytoplasmic vesicle membrane",3
"Cytoplasm, cytoskeleton:Cell junction, focal adhesion:Cytoplasm, myofibril, sarcomere, Z line:Cell projection, ruffle:Cell projection, podosome:Cell projection, lamellipodium:Cell projection, axon:Cell projection, growth cone",3
"Cytoplasm, cytoskeleton:Cell junction, focal adhesion:Cytoplasm, cell cortex",3
"Cell projection, dendritic spine membrane:Cytoplasm:Endoplasmic reticulum membrane:Perikaryon:Nucleus",3
"Cell projection, dendrite:Synapse:Cell membrane:Endoplasmic reticulum membrane",3
"Cytoplasm, cytoskeleton:Cell junction, tight junction:Perikaryon:Cell projection, dendritic spine:Postsynaptic density:Synapse:Cytoplasm, cytosol",3
"Cell projection, dendritic spine:Recycling endosome:Presynapse:Cell projection, dendrite",3
"Cell membrane:Presynaptic cell membrane:Perikaryon:Cell projection, axon:Cell projection, dendrite:Cell projection, dendritic spine membrane:Cytoplasm, cell cortex:Cytoplasm, cytoskeleton",3
"Cell membrane:Cell projection, microvillus:Secreted",3
Cell membrane:Postsynaptic density:Synaptic cleft:Synaptic cell membrane,3
"Cytoplasm, cytoskeleton:Cell membrane:Cytoplasm, myofibril, sarcomere, I band:Cytoplasm, myofibril, sarcomere, Z line:Cell junction",3
"Cell membrane:Cell projection, neuron projection:Cell projection, stereocilium",3
"Cell membrane:Cell projection, neuron projection:Cell projection, axon",3
"Cytoplasm, cytoskeleton:Cell membrane:Cytoplasm, cytoskeleton, stress fiber:Cytoplasm, cytoskeleton, cilium basal body",3
"Cytoplasm, cytoskeleton:Cell membrane:Cytoplasm",3
"Cytoplasm, cytoskeleton:Cell membrane:Cell projection, phagocytic cup",3
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, perinuclear region:Endoplasmic reticulum",3
Cell membrane:Presynapse,3
Cell membrane:Presynaptic cell membrane,3
"Cytoplasm, cytoskeleton:Cell membrane:Cell junction:Nucleus:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, P-body",3
"Cell junction, adherens junction:Cell junction, desmosome:Cytoplasm, cytoskeleton:Cell membrane:Cytoplasm:Cell junction:Nucleus",3
"Cytoplasm, cytoskeleton:Cell membrane:Cell junction",3
"Cell membrane:Presynaptic cell membrane:Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane:Lysosome membrane:Cytoplasmic vesicle, phagosome membrane:Peroxisome membrane:Cytoplasmic vesicle, secretory vesicle membrane",3
"Cell membrane:Cytoplasm:Cell projection, dendrite",3
"Cell membrane, sarcolemma, T-tubule",3
"Cell membrane:Endoplasmic reticulum membrane:Postsynaptic cell membrane:Postsynaptic density membrane:Cell projection, dendrite:Cell projection, dendritic spine:Early endosome membrane:Recycling endosome membrane:Presynapse:Synapse",3
"Cytoplasm, cytosol:Cell junction, adherens junction:Membrane",3
"Cytoplasm, cell cortex:Cell projection, dendritic spine",3
"Cell membrane:Cytoplasm:Perikaryon:Cell projection, dendrite:Membrane raft",3
Cell membrane:Endoplasmic reticulum membrane:Recycling endosome membrane,3
"Cytoplasm, cytoskeleton, cilium axoneme:Cytoplasm:Cytoplasm, cytoskeleton",3
"Cytoplasm, cytoskeleton:Postsynaptic density:Synapse, synaptosome",3
Cell membrane:Endoplasmic reticulum membrane:Lysosome membrane:Endoplasmic reticulum membrane,3
Cell membrane:Cytoplasm:Secreted:Cell membrane:Secreted,3
"Cytoplasm, cytoskeleton:Secreted",3
"Cytoplasm, cytoskeleton, cilium axoneme:Cytoplasm, cytoskeleton, flagellum axoneme:Cytoplasmic vesicle, secretory vesicle, acrosome outer membrane",3
"Cell membrane:Endoplasmic reticulum membrane:Golgi apparatus, cis-Golgi network membrane:Endoplasmic reticulum-Golgi intermediate compartment membrane",3
"Cytoplasm, cytoskeleton:Synapse:Cell junction, focal adhesion",3
"Cell membrane:Basolateral cell membrane:Cell membrane, sarcolemma:Cell projection, axon:Melanosome",3
Cell membrane:Endoplasmic reticulum membrane:Golgi apparatus membrane:Secreted,3
"Cell membrane:Endoplasmic reticulum membrane:Golgi apparatus membrane:Late endosome:Cytoplasmic vesicle, phagosome membrane:Cytoplasmic vesicle, phagosome:Cytoplasmic vesicle membrane:Melanosome",3
"Cell membrane:Basolateral cell membrane:Synapse:Presynaptic cell membrane:Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane",3
"Apical cell membrane:Cell membrane:Cell membrane, sarcolemma",3
Apical cell membrane:Cell membrane:Cell junction:Lysosome membrane:Melanosome:Basolateral cell membrane,3
"Cytoplasm, cytosol:Cell membrane:Cell membrane, sarcolemma:Cell membrane",3
"Apical cell membrane:Cell junction, tight junction:Cytoplasm, cytoskeleton",3
"Cell membrane:Endoplasmic reticulum membrane:Golgi apparatus membrane:Cell projection, dendrite",3
"Cytoplasm, cytoskeleton, cilium axoneme:Cytoplasm, cytoskeleton, flagellum axoneme:Cytoplasm, cytoskeleton, microtubule organizing center",3
"Cell membrane:Cytoplasmic granule:Secreted:Cytoplasm, cytosol:Lysosome:Nucleus",3
"Cytoplasm, cytosol:Cell membrane:Cytoplasm, cytoskeleton:Cell projection, axon:Cell projection, dendrite:Secreted",3
"Cell membrane:Basolateral cell membrane:Cell junction, tight junction",3
"Cell membrane:Apical cell membrane:Cell membrane, sarcolemma",3
Cell membrane:Cytoplasmic vesicle lumen:Lysosome lumen:Secreted:Nucleus,3
"Cell membrane:Apical cell membrane:Cell projection, lamellipodium membrane:Cell surface",3
Cell membrane:Cytoplasmic vesicle membrane:Early endosome:Membrane raft:Endoplasmic reticulum:Basolateral cell membrane:Apical cell membrane,3
"Cell membrane:Cytoplasm:Nucleus:Nucleus speckle:Cell projection, ruffle:Cell projection, lamellipodium",3
"Cytoplasm, cytoskeleton:Nucleus:Cytoplasm, cytoskeleton, spindle:Midbody",3
"Cytoplasm, cytoskeleton:Nucleus:Cytoplasm, cytoskeleton, spindle",3
Cell membrane:Endoplasmic reticulum membrane:Vesicle:Golgi apparatus membrane:Lysosome,3
"Cell membrane:Endosome, multivesicular body membrane",3
"Cell membrane:Endosome membrane:Recycling endosome membrane:Cleavage furrow:Cytoplasmic vesicle, phagosome:Cytoplasmic vesicle membrane:Golgi apparatus:Golgi apparatus, trans-Golgi network",3
"Cytoplasm, cytoskeleton:Golgi apparatus:Cell projection, axon:Cell projection, dendrite:Cytoplasmic vesicle, secretory vesicle membrane",3
"Cell membrane:Cytoplasm:Golgi apparatus membrane:Golgi apparatus, cis-Golgi network membrane:Membrane",3
"Cell membrane:Basolateral cell membrane:Endosome membrane:Cell membrane, sarcolemma:Cell projection",3
"Cytoplasm, P-body:Cytoplasm:Cytoplasm, Stress granule:Nucleus:Nucleus speckle:Nucleus, nuclear body",3
"Cell membrane:Cytoplasm:Golgi apparatus:Cytoplasmic vesicle, secretory vesicle, synaptic vesicle",3
"Cell membrane:Endosome membrane:Early endosome membrane:Cell projection, axon:Cell projection, dendrite:Cytoplasm, perinuclear region:Postsynaptic density",3
"Cytoplasm, cytoskeleton, cilium basal body:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite",3
Cell membrane:Apical cell membrane:Basolateral cell membrane:Early endosome membrane:Late endosome membrane:Lysosome membrane,3
"Cell membrane:Endosome membrane:Cytoplasmic vesicle, autophagosome membrane",3
Cell membrane:Cytoplasm:Melanosome,3
"Cytoplasm, cytoskeleton, cilium basal body:Cytoplasm, cytoskeleton, cilium axoneme:Nucleus",3
"Apical cell membrane:Cell projection, cilium:Cytoplasmic granule:Cytoplasm:Cytoplasmic vesicle, secretory vesicle, acrosome:Cell projection, cilium, flagellum",3
"Apical cell membrane:Cell projection, cilium:Cell junction, adherens junction",3
"Cytoplasm, P-body:Cytoplasmic granule",3
Apical cell membrane:Cell membrane:Recycling endosome membrane:Early endosome membrane,3
Cell membrane:Apical cell membrane:Basolateral cell membrane:Mitochondrion membrane:Endomembrane system:Nucleus membrane:Nucleus outer membrane,3
Apical cell membrane:Cell membrane:Lysosome membrane,3
"Cytoplasm, cytoskeleton, cilium basal body:Cytoplasm, cytoskeleton, cilium axoneme",3
"Cell membrane:Basolateral cell membrane:Endoplasmic reticulum membrane:Endoplasmic reticulum-Golgi intermediate compartment membrane:Golgi apparatus membrane:Golgi apparatus, trans-Golgi network membrane:Membrane raft",3
Cell membrane:Basolateral cell membrane:Cytoplasmic vesicle membrane:Cytoplasm:Endoplasmic reticulum membrane:Golgi apparatus membrane:Nucleus membrane,3
"Cell membrane:Cytoplasm:Nucleus:Cell projection, growth cone:Nucleus speckle",3
"Cell membrane:Cytoplasm:Nucleus:Cytoplasm, perinuclear region",3
"Cytoplasm, cytoskeleton, cilium basal body:Cell junction, tight junction:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole:Cytoplasmic vesicle, autophagosome:Golgi apparatus:Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, spindle",3
"Cytoplasm, Stress granule:Cytoplasm, cytosol:Mitochondrion",3
"Cytoplasm, cytoskeleton:Nucleus:Chromosome, centromere:Chromosome, centromere, kinetochore",3
Cell membrane:Cytoplasmic vesicle membrane:Endosome membrane,3
"Cytoplasm, cytosol:Cell membrane:Endomembrane system",3
"Cytoplasm, cytosol:Cell membrane:Endosome membrane:Recycling endosome membrane:Cell projection, filopodium membrane:Cell projection, ruffle:Cleavage furrow:Midbody, Midbody ring:Early endosome membrane:Golgi apparatus, trans-Golgi network membrane",3
Cell membrane:Early endosome membrane:Recycling endosome membrane:Apical cell membrane:Late endosome membrane:Basolateral cell membrane,3
"Cell membrane:Apical cell membrane:Cell projection, stereocilium:Endoplasmic reticulum:Golgi apparatus",3
"Cytoplasm, cytosol:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle:Nucleus:Lysosome",3
Cell membrane:Apical cell membrane:Cell surface,3
"Cytoplasm, cytosol:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Nucleus:Cell membrane",3
"Cell membrane:Early endosome membrane:Postsynaptic density membrane:Synapse:Cell projection, dendrite:Cell projection, dendritic spine",3
"Cell membrane:Early endosome membrane:Melanosome:Cytoplasmic vesicle:Cell projection, ruffle:Membrane:Cytoplasm, cytosol:Cytoplasmic vesicle, phagosome membrane:Endosome membrane",3
Cell membrane:Early endosome membrane:Late endosome membrane:Recycling endosome membrane,3
"Cytoplasm, cytosol:Cytoplasm, cytoskeleton, spindle:Cytoplasm, cytoskeleton, spindle pole:Cleavage furrow",3
"Apical cell membrane:Basolateral cell membrane:Cell projection, microvillus membrane:Cell projection, cilium membrane",3
"Cytoplasm, cell cortex:Nucleus:Mitochondrion:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Chromosome",3
"Cell membrane:Apical cell membrane:Synapse, synaptosome:Early endosome membrane:Late endosome membrane:Recycling endosome membrane",3
"Cell membrane:Early endosome membrane:Cell projection, dendrite",3
Cell membrane:Cytoplasmic vesicle:Nucleus,3
Cell membrane:Cytoplasmic vesicle:Lysosome lumen,3
"Cytoplasm, cytosol:Cytoplasm, cytoskeleton:Cell projection, ruffle membrane:Cell projection, lamellipodium membrane:Cell membrane",3
"Cytoplasm, cytosol:Cytoplasm, cytoskeleton:Membrane",3
"Cytoplasm, cytosol:Cytoplasm, cytoskeleton:Membrane:Cell projection, filopodium:Cell projection, lamellipodium:Basal cell membrane:Nucleus:Nucleus speckle:Cytoplasm, cytoskeleton, spindle pole",3
"Apical cell membrane:Basolateral cell membrane:Cell membrane:Cytoplasmic vesicle membrane:Golgi apparatus, trans-Golgi network membrane",3
"Cytoplasm, cytosol:Cytoplasm, cytoskeleton:Nucleus",3
Cell membrane:Apical cell membrane:Lysosome membrane,3
Cell membrane:Apical cell membrane:Mitochondrion membrane,3
"Cytoplasm, cell cortex:Cytoplasm, perinuclear region:Cytoplasm, cytoskeleton",3
Cell membrane:Apical cell membrane:Membrane raft,3
"Cell membrane:Apical cell membrane:Membrane raft:Membrane, caveola",3
"Cell membrane:Apical cell membrane:Membrane raft:Cytoplasm:Cytoplasmic vesicle, clathrin-coated vesicle",3
"Cytoplasm, cytosol:Cytoplasm, perinuclear region:Endosome membrane:Golgi apparatus, trans-Golgi network",3
"Cell membrane:Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane",3
"Cytoplasm, cytosol:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle pole:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole:Mitochondrion intermembrane space",3
"Cytoplasm, cytoskeleton, cilium axoneme:Cell projection, cilium:Cytoplasm, cytoskeleton, flagellum axoneme:Cell projection, cilium, flagellum",3
"Cytoplasm, cytosol:Cell membrane:Golgi apparatus membrane:Cell projection, lamellipodium",3
"Cytoplasm, cytosol:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole:Cytoplasm, cell cortex",3
"Cytoplasm, cytosol:Cell membrane:Golgi apparatus membrane:Endoplasmic reticulum membrane",3
"Cytoplasm, cytosol:Cell membrane:Lipid droplet",3
Cell membrane:Basolateral cell membrane:Apical cell membrane,3
Cell membrane:Basal cell membrane:Cytoplasm:Lysosome,3
"Cell membrane:Endoplasmic reticulum membrane:Cell projection, axon",3
"Cytoplasm, cytosol:Cell membrane:Recycling endosome membrane",3
"Cell membrane:Endomembrane system:Nucleus:Nucleus speckle:Cytoplasm, cytosol",3
"Cytoplasm, cytosol:Cell membrane:Secreted",3
"Cytoplasm, cytosol:Cell membrane:Synapse, synaptosome:Cell projection, ruffle membrane",3
"Cytoplasm, cytosol:Cell projection, axon",3
Cell membrane:Cytoplasmic vesicle membrane:Golgi apparatus,3
"Cell membrane:Endomembrane system:Golgi apparatus, trans-Golgi network membrane",3
"Cytoplasm, cytoskeleton, cilium axoneme:Cytoplasm, cytoskeleton, flagellum axoneme:Cell projection, kinocilium",3
"Cell membrane:Endomembrane system:Endosome membrane:Synapse:Cell junction, focal adhesion:Cell projection, neuron projection",3
"Cytoplasm, cytosol:Cell projection, ruffle membrane:Nucleus",3
Apical cell membrane:Basolateral cell membrane:Melanosome,3
"Cytoplasm, cytosol:Chromosome",3
Cell membrane:Early endosome:Recycling endosome,3
"Cytoplasm, cytoskeleton, cilium axoneme:Cytoplasm, cytoskeleton, cilium basal body:Cytoplasm, cytoskeleton:Cell projection, cilium, photoreceptor outer segment",3
"Cytoplasm, cytosol:Cytoplasm, P-body:Cytoplasm, Stress granule:Nucleus",3
Cell membrane:Early endosome:Golgi apparatus,3
"Cell membrane:Early endosome:Endoplasmic reticulum:Cytoplasm:Cytoplasm, cytoskeleton, spindle:Nucleus",3
Cell membrane:Early endosome:Cytoplasm,3
"Cytoplasm, cytosol:Cytoplasm, cell cortex:Cytoplasm, myofibril, sarcomere, Z line",3
"Cytoplasm, cytosol:Cytoplasm, cytoskeleton, cilium axoneme",3
"Cytoplasm, cytosol:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite",3
"Cell membrane:Early endosome:Cell projection, ruffle",3
Cell membrane:Cytoplasm:Early endosome:Recycling endosome,3
"Cell junction, focal adhesion:Cell membrane:Cytoplasm, perinuclear region:Cytoplasm, cell cortex:Cytoplasm, cytoskeleton:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Nucleus:Cytoplasm, cytoskeleton, cilium basal body:Cytoplasm",3
Cell membrane:Endosome:Membrane raft,3
"Cell membrane:Golgi apparatus, trans-Golgi network:Endosome:Endosome, multivesicular body",3
Cell membrane:Golgi apparatus membrane:Early endosome membrane,3
"Cell membrane:Cell junction, adherens junction",3
"Cytoplasm, cytoskeleton, cilium basal body:Cytoplasm:Nucleus:Cytoplasm, cytoskeleton, cilium axoneme:Cytoplasmic vesicle:Golgi apparatus, trans-Golgi network",3
"Cell membrane:Cytoplasm:Cytoplasm, cytoskeleton:Cell junction, adherens junction:Cell projection, axon:Nucleus",3
Cell membrane:Golgi apparatus membrane:Endosome membrane,3
Cytolytic granule:Secreted:Cell membrane:Endosome lumen,3
Cell membrane:Endosome:Endoplasmic reticulum,3
"Apical cell membrane:Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane:Cytoplasmic vesicle, clathrin-coated vesicle membrane",3
"Cell membrane:Cell junction, adherens junction:Cell junction, focal adhesion:Cytoplasm, cytoskeleton:Cell membrane, sarcolemma:Cell projection, podosome",3
Contractile vacuole,3
"Cytoplasm, cytoskeleton, cilium basal body:Cytoplasm:Nucleus:Cell membrane",3
"Cell membrane:Endosome:Secreted, extracellular space",3
"Cytoplasm, cytoskeleton, cilium basal body:Cytoplasm, cytoskeleton:Cytoplasm, cytoskeleton, flagellum axoneme",3
"Cytoplasm, cytoskeleton:Endoplasmic reticulum membrane:Membrane",3
Cell membrane:Extracellular vesicle membrane:Mitochondrion membrane:Mitochondrion intermembrane space,3
"Apical cell membrane:Cell projection:Cell projection, microvillus membrane:Cell projection, ruffle membrane:Cytoplasm, cell cortex:Cytoplasm, cytoskeleton:Cell projection, microvillus",3
Cell membrane:Golgi apparatus membrane:Lysosome membrane:Endosome membrane:Membrane,3
"Cytoplasm, Cytoplasmic ribonucleoprotein granule:Cytoplasm, Stress granule:Cytoplasm:Cell projection, dendrite:Cell projection, dendritic spine:Cell projection, axon:Nucleus envelope:Postsynapse",3
"Cytoplasm, cytoskeleton:Cytoplasm:Synapse:Cell projection, dendritic spine:Cytoplasm",3
"Cell membrane:Endosome:Membrane, caveola:Melanosome:Membrane raft",3
