uniprot_description,count
Aminotran_1_2 domain-containing protein,109
Xyloglucan endotransglucosylase/hydrolase,109
FAD-binding PCMH-type domain-containing protein,109
Hydrolase_4 domain-containing protein,108
RNase H domain-containing protein,108
Metallophos domain-containing protein,107
Pentatricopeptide repeat-containing protein mitochondrial,107
Oxidoreductase,106
Phosphoinositide phospholipase C,106
DNA-directed RNA polymerase,106
Phosphodiesterase,106
Histone deacetylase,106
MADS-box domain-containing protein,106
Germin-like protein,105
Cytochrome b5 heme-binding domain-containing protein,105
RING-CH-type domain-containing protein,104
VWFA domain-containing protein,104
Reticulon-like protein,103
LEA_2 domain-containing protein,103
C-type LECtin,103
CBFD_NFYB_HMF domain-containing protein,102
VQ domain-containing protein,102
DNA-directed RNA polymerase subunit beta,102
Cyclic nucleotide-binding domain-containing protein,102
Ground-like domain-containing protein,101
Tubulin alpha chain,100
Expansin,99
Ankyrin_rpt-contain_dom domain-containing protein,99
APH domain-containing protein,99
Tubulin beta chain,99
KH domain-containing protein,99
AMP-binding domain-containing protein,99
Tr-type G domain-containing protein,98
Phosphotransferase,98
AMP-binding enzyme family protein,97
Guanylate cyclase,97
SAM domain-containing protein,96
PCI domain-containing protein,96
Innexin,95
Auxin response factor,95
PMEI domain-containing protein,95
Flavin-containing monooxygenase,95
HET domain-containing protein,95
Beta-galactosidase,94
Rhodanese domain-containing protein,94
WW domain-containing protein,94
LIM zinc-binding domain-containing protein,94
ABC transporter ATP-binding protein,94
Aldehyde dehydrogenase,93
Malate dehydrogenase,93
AP2-EREBP transcription factor,93
(1->3)-beta-glucan endohydrolase,92
BHLH transcription factor,92
DUF4283 domain-containing protein,92
NAD(P)-bd_dom domain-containing protein,92
AT-hook motif nuclear-localized protein,92
Iso-IS1 ORF2,91
Receptor protein-tyrosine kinase,91
GOLD domain-containing protein,91
Neur_chan_LBD domain-containing protein,91
Helitron_like_N domain-containing protein,91
Phytocyanin domain-containing protein,91
Galectin,91
7TM_GPCR_Srx domain-containing protein,91
Glutathione peroxidase,90
Lipase,90
Glyceraldehyde-3-phosphate dehydrogenase,90
Integral membrane protein,90
LOB domain-containing protein,89
Structural maintenance of chromosomes protein,89
Acyl_transf_3 domain-containing protein,89
"Unplaced genomic scaffold supercont1.10, whole genome shotgun sequence",89
PHB domain-containing protein,89
Trafficking protein particle complex subunit,89
"Glucan endo-1,3-beta-D-glucosidase",88
Histone H2B,88
Putative RING zinc finger domain superfamily protein,88
Mannosyltransferase,88
PPE family protein,87
Calponin-homology (CH) domain-containing protein,87
B box-type domain-containing protein,87
Aminopeptidase,87
PHD-type domain-containing protein,87
Eukaryotic aspartyl protease family protein,87
Short chain dehydrogenase family protein,86
